name,description,country,founding_date,relevancy
PUNCH Consulting Engineers,"PUNCH Consulting Engineers is the business name of Michael Punch and Partners Limited and is one of Ireland's leading and most experienced engineering consultancies. The partnership was established by Michael Punch in 1973 to provide a wide-ranging consultancy service in civil & structural engineering. In this time it has grown to be one of the largest Irish-owned consultancies, with a diverse client base across an increasingly broad range of sectors of the industry.

The organisation of the company is based having two main divisions – the Buildings Division and the Environmental Division – and these divisions are further separated into the Market Sectors that they operate in.",Ireland,1973-01-01,0
Tucker Auto-Mation,"Tucker Auto-Mation Holdings USA, LLC manufactures and distributes swinging, sliding, folding, and revolving automatic doors. The company offers its products for various solutions, including enterances, survelilance, people counting, and lighting program. It serves K12, hospitals, restrooms, gas stations and convenience stores, offices, hotels, banks, retail stores, college and universities, libraries, and grocery stores. It sells its products through its distribution sales channels. The company was founded in 2013 and is based in North Versailles, Pennsylvania.",United States,2013-01-01,0
Skye Capic Select,Skye Capic Select is planned as a 126 room hotel with conferencing facilities located in the Alausa Ikeja area.,Nigeria,2008-01-01,0
Ergo Robotic Solutions,Ergo Robotic Solutions have developed unmanned ground vehicles with arms to manipulate and handle glass facades. Most of the robots feature an articulated arm with a glass panel gripper at the end which helps in movement and mounting of the panels. Their largest robot called the THOM 2000 comes with a telescopic arm which can handle a 2000 pounds heavy glass panel.,United States,2013-01-01,1
Wuunder,"Hello, We are Wuunder, and we’re excited to be changing the game when it comes to sending and receiving documents, packages and pallets.

We hope you’ll share our enthusiasm! We’re doing this via a shiny new mobile platform, which lets you quickly and easily find the best price from established carriers, send your document, parcel or pallet and stay in touch with those receiving them. How handy is that? All you need to get started is to download the Wuunder app, use the browser version for Mac and PC or install the webshop plug-in for WooCommerce, Magento, Lightspeed, Shopware etc.

Delivering business efficiency:

- Send everything – documents, packages and pallets 
- Always get the best price, from 23 established carriers
- Direct customer contact via chat and 24/7 shipment tracking 

You’re probably wuundering why we spell our name with two ‘u’s. It’s because we passionately believe that personal service is essential in the digital world. While others deliver from place to place, we think in terms of delivering from person to person. Or in our language, from u to u. And because your mobile number gives you access to Wuunder chat, you can have direct contact with the people you send to.

Living in the Netherlands? Then you're lucky. We ship from the Netherlands only.

This is all part of our quest to be, Easy, efficient, connected. We Are Wuunder",Netherlands,2016-01-01,0
Wheelright,"WheelRight Ltd, an Oxford, UK-based tyre monitoring company. Founded in 2004 by John Catling and Michael Taylor, WheelRight develops and sells advanced remote tyre monitoring equipment, which accurately measures the pressure within a vehicle’s tyres when the vehicle is driven over a sensor plate.",United Kingdom,2004-01-01,1
The Gilman Brothers Company,"The Gilman Brothers Co. is one of North America's premier manufacturers of foam board products for signage, display and graphics. Founded in 1897, the company has been instrumental in developing and bringing to market innovative products for the changing needs of the visual industries. The company is based in Gilman, CT.",United States,1897-01-01,0
Sequel International Logistics (USA),Sequel International Logistics (USA) is provides logistics services.,United States,2015-01-01,0
Pro DBX,"Pro DBX is the provider of cloud-based software for project management to speciality and general contractors. Available apps include CRM, task management, digital forms, quoting, inventory management, payroll, workflow management, accounting, and puchase orders. Pricing starts at $15 per month per user.",United States,2013-01-01,2
Blast Ramp,"Blast Ramp is collaborative distribution platform for companies that sell and ship consumer products. 

Blast Ramp is a â€œlite enterpriseâ€ suite of web-based features combined with real world infrastructure. The system is used by niche product companies that are in the longtail, ie skateboarding apparel ( http://www.thehundreds.com and ecommerce logistics services (http://www.e2seamless.com). It is a subscription based system that allows one organization to buy a license starting at $250 USD per month.

Apparel and 3PL ( Third Party Logistics) companies are the current primary targets of Blasty and the Blast Ramp crew.",Canada,2009-01-01,1
Planstyring,"Planstyring is provides construction consulting services, which include project management, building construction, and building service systems.",Norway,1995-01-01,1
Global Wind Service,"Global Wind Service (GWS) is a supplier of turbine technicians, expertise and services to wind farm projects around the world. Through our focus on cross-cultural awareness and local knowledge we have established a unique and highly specialised skills base to meet client demands safely and efficiently across the globe.",Denmark,2008-01-01,0
Grand Power Logistics Group,"Grand Power Logistics Group Inc. (“Grand Power”), operates through its wholly owned subsidiary, Grand Power Express International Limited (“GP Express”), is committed to become a prominent provider of logistics and related services in the global market with business currently spanning Asia Pacific, Europe and North America. Grand Power listed on Canadian TSX Venture Exchange under the symbol “GPW” in November 2004.


Headquartered in Hong Kong, GP Express is one of the leading logistics service providers in Hong Kong and PRC since 2002. Through partnerships, subsidiaries and branch offices, GP Express now provides comprehensive logistics services, including air freight and ocean freight services, rail and land transportation, global freight management services, customs brokerage, warehousing and distribution.",Hong Kong,2002-01-01,0
International Checkout,International Checkout's integrated solution enables consumers worldwide to browse and add items to the shopping cart directly on the US merchant's website.line of business includes the arranging of transportation of freight and cargo.,United States,2005-01-01,0
Cosmos Agencia Marítima SAC,"Cosmos Agencia Marítima SAC owns a fully integrated logistics service business. The company provides integral solutions in the maritime, fluvial, and port areas. Cosmos Agencia Marítima SAC began its activities in June 1972 with the purpose of providing an optimal service of maritime agency to the regular service ships, tramps services, and tankers that arrive at the Peruvian ports. 

Cosmos is part of Andino Investment Holding, a Peruvian business group that offers services in three main lines: Port and Airport Infrastructure, Maritime Services and Logistics Services nationwide. ",Peru,1972-06-01,0
VORG,VORG.Co is  a service professional in the IT market,Japan,2009-12-01,0
RMX Holdings,"Since 1997 RMX has provided ready-mix concrete products to the construction industry. They currently operate two ready-mix concrete plants in the metropolitan Phoenix, Arizona area",United States,1996-01-01,0
Building Structure Institute,"Building Structure Institute provides engineering serves including planning, verification, and construction. It offers research planning for seismic isolation, vibration control, seismic isolation technology, experiment verification, and analysis for product development. It's services also includes structural design management. 

The company was founded in 2010.",Japan,2010-01-01,0
arculus,"arculus provides hardware and software solutions for industrial automation. arculus is the company behind the modular production revolution, headquartered in Ingolstadt, Germany. This company was founded with a mission to make a more efficient and flexible production system in multi-variant industries, implementing the most innovative solutions.",Germany,2016-04-01,0
"eDriving, LLC","eDriving is the leading provider of online driver education and behind-the-wheel training solutions serving teenagers, adults, contract drivers and corporations. The Company also partners with leading brands to help them deliver relevant products and services within the rapidly expanding marketplace that connects drivers to new business models dependent on road safety.",United States,2015-01-06,0
Sacyr Concesiones Chile,"Sacyr Concesiones is a world-leading company in the development of infrastructures with extensive experience in managing all aspects of the lifecycle of a concession including its design, construction, financing, operation and maintenance. Sacyr Concesiones is ranked 7th in the world in terms of the amount of transport concessions under management (PWF 2018).

Sacyr Concesiones is focused on greenfield projects with demand risk mitigation mechanisms and located in countries with a mature regulatory and financial framework, preferring Europe, Latin America and North America.",Spain,1986-01-01,0
VG Cargo GmbH,VG Cargo GmbH was founded in 2002 and quickly became a leading air cargo handling company; specializing in High Value Freight.,Germany,2002-01-01,0
The Gravel Company,"The Gravel Company offers many options for your landscaping projects. They have three locations in Middle TN. They stock decorative landscaping gravel, construction gravel, topsoil, sand, compost and a wide selection of landscaping stones.  Their natural landscaping stones can be used for patios, walkways, waterfalls, garden walls, landscaping boulders or anything your imagination can dream up.  At The Gravel Company, they guarantee you will get a full cubic yard, everytime. They have trucks that can service any small job for homeowners up to tractor trailer truckloads for the commercial landscaper or wholesaler.",United States,2005-01-01,0
Grupo konstruir,"Grupo konstruir is a construction company based on an integrated system of solutions, specially designed so that their clients can build their house in the simplest and simplest way.",Argentina,2017-01-01,1
Ferer Dis Ticaret Ve Kimyasallar Anonim Sirketi A.S,"Ferer provides colors and pigments, including automotive products, container and tableware products.

Ferer markets an extensive variety of colorants and glass coating products for the flat glass, automotive glass, container glass, dinnerware, and paint and plastics pigments industries. Ferer’s main administrative office is in Istanbul. It has a laboratory, warehouse, and a new blending and mixing plant in Kütahya.",Turkey,1998-01-01,0
Myseekit,"Based in Malaysia, Myseekit is a B2B platform for the construction industry. The platform has features that allow users to locate the suppliers for the products they are seeking. It has a visual search tool that helps users with their search.",Malaysia,2010-01-01,2
Capacit'e Infraprojects,"Capacit'e Infraprojects is a Mumbai based ISO 9001:2008 certified construction company focused on Residential, Commercial and Institutional buildings in metro cities across India. Capacit'e Infra provide end-to-end construction services for residential buildings, multilevel car parking, corporate office buildings and buildings for educational, hospitality and healthcare purposes.

Capacit'e Infra primarily operates in Mumbai, NCR and Bangaluru. The list of clients include Lodha Group, Rustomjee, Godrej Properties Limited, Prestige Estates and Oberoi Constructions. Capacit'e has 51 ongoing projects. The order book consist of 96% residential, 3% commercial and 1% institutional projects.",India,2012-08-01,0
StrucSoft,"StrucSoft is the providers of a set of extensions to Revit and other design authoring tools to automate the framing for wood and steel, and fabrication. Its solutions help in checking a range of structural steel connection types, converting DSTV files to CMS standard for fabrication through CNC machines and createing a Bill of Materials for estimating and fabrication.",Canada,1994-01-01,2
Fueltime,"The easiest way to refuel a car. 

Fueltime is a mobile gas station to help drivers and companies save time and money by order gasoline delivery directly into the tank by using a smartphone. Our logistic company delivery gasoline directly into the tank and thus not allow excess gases to be released into the environment. We do not tolerate leaks and reducing the amount of emitted gases into the surrounding due. Our company is the future of refueling the car.

We delivery gasoline for cars near house/office or parking. Works with people and companies. Our system lets not only to save time but and money. Much time people spend on refuel car. And companies spent much money on it. We are not only refueling your car but and check tires, clean headlights, and windshield. You won't think about the service your car with us. In the future, we plan to start complex car care and will be happy to help you as in the city and on the road.",Austria,2018-01-01,0
Adept Management,"Adept Management plan, manage and control large, complex projects. Adept Integrated Project Controls solutions are proven to make a positive difference.",United Kingdom,2001-01-01,1
cago,"Cago LLC. will provide various types of web-based solutions to many different types of organization. ""onesub.net"" it's initial service is a web based directory for the commercial construction industry. Industry professionals will be able to search at no cost, for subcontractors and get detailed profiles for qualification purposes.",United States,2008-07-01,1
Tycho Solutions,"Within the Logistics and Supply Chain Management industries, there are currently very few Start-ups with block chain incorporation. In such a diverse and large industry, with so many actors, Block chain technology will be a game-changer for how companies exchange information, communicate with each other, as well as immense improvements in accountability, tractability, and customer satisfaction.

We aim to bridge the gap between companies in the supply chain. through the use of a distributed ledger holding all information pertaining to cargo, where each company can safely and efficiently pull data from the block chain, once it is their turn to manage the shipment. This system will improve the speed of auditing, significantly reduce redundancies, and will provide a secure, digital medium from which every company will contribute to produce a seamless supply chain experience.",Canada,2017-08-20,0
Pi4sc,"Pi4sc is focused on planning disposition and distribution as well as interfaces to IT, management and finance.",Switzerland,2014-01-01,1
Northwest Parkway,"The Northwest Parkway is a 75-mile per hour public toll road that connects E-470 in the east, at I-25, which is north of 144th Ave, with U.S. 36 and State Highway 128 in Broomfield.

Construction of the Parkway commenced in June 2001, under a design / build contract by the Highway Authority. The Parkway opened to traffic on November 24, 2003, and toll collection commenced on January 1, 2004.

The completed Parkway has 26 structures, three major interchanges, four ramp toll plazas, four mainline toll plazas and a toll plaza administration building. The Parkway forms the Northwest section of a beltway system extending around the Denver Metropolitan area, which includes E-470 to the east and C-470 to the south and west.  The Parkway connects with several toll and non-toll highways, including E-470, I-25 U.S. 36, and U.S. 287, providing convenient access to residential and employment centers within the northwestern metropolitan area, The Flatirons shopping area, and Boulder, including Denver International Airport (“DIA”).

The Parkway is a public road 100% privately funded. No federal funds were/are used on the Parkway.

On November 21, 2007(1), the Northwest Parkway LLC (the “Concessionaire”), a joint venture between Brisa Auto-Estradas S.A. (“Brisa”) and Companhia de Concessões Rodoviárias (“CCR,” and together with Brisa, the “Sponsors”), entered into a  concession and lease agreement for the operation and maintenance of the Parkway from the Northwest Parking Public Highway Authority (the “Highway Authority“). Brisa currently holds 100% of the concession.

Brisa Auto-Estradas de Portugal, based in Lisbon, founded in 1972, is the largest Portuguese motorway operator and a leading player in the sector in Europe. Other than the U.S., Brisa also has international presence in Europe and India. www.brisa.pt
http://www.brisa.pt/PresentationLayer/homepageinvestidores.aspx?idiomax=2&menuid=131

We invite you to try our road and compare how fast, safe and well maintained we are compared to the alternate routes.  We look forward to serving you for many years. 

If you have a question or concern, please send us a comment in our Customer Service menu option on this website or call us at 303-533-1200. We appreciate your feedback.

Thank you for driving the Northwest Parkway, Sincerely the Staff.",United States,2001-06-01,0
Courson Equipment Company,"Northern Nevadaâ€™s Compaction Specialists!  Over 30 years of local experience in the heavy equipment industry.  Sales, rentals, parts, service and repairs!  Our rental fleet includes approximately 20 pieces of compaction and compact construction equipment; please call our Carson City office at (775) 841-9300 for equipment availability and rates.

Two locations to serve you â€“ Carson City and Reno, our Carson City yard is a complete service facility with factory-trained technicians.",United States,1996-11-15,0
DEX,"DEX is in the business of identifying and delivering supply chain solutions at the lowest total cost to their clients by leveraging their engineering, systems, design, and consulting expertise. These infrastructures and core competencies give DEX an unmatched foundation for supply chain solutions.As a provider of supply chain solutions since 1980, DEX offers a variety of forward and reverse logistics programs for high-tech industries. As pioneers in the industry, DEX knows how it works. They have spent years building end-to-end supply chain solutions that include forward and reverse logistics, depot repair, parts procurement, and asset recovery services.DEX is dedicated to delivering end-to-end product lifecycle solutions at the lowest sustainable cost - enabling our customers to keep their commitments and stand out in their various industry segments. Their expertise is in engineering hi-tech electronic and electromechanical components, manufacturing, and supply chain management services. They offer solutions that span the entire product lifecycle - from concept through production and after-market support.",United States,1980-01-01,0
Aerotronic,"Summary 
Aerotronic is a data analytics company that uses aerial and ground data to report on the health of power lines at a significant cost reduction versus existing solutions.

Problem 
Powerline inspections today are qualitative, done manually, and stored as hard copies. Engineers fly in a manned helicopter and take notes on the condition of the lines. Each inspection costs $2K+ per mile and takes time to collate and track. 

Solution 
High-speed data capture using manned, unmanned, and ground-based vehicles. The data is processed using a proprietary analytics platform and accessed by clients through a web portal.

Traction 
Late stage discussions with 2 utility companies on pilot studies. Flew power lines in North Carolina after Hurricane Florence, and sent findings to FEMA, Duke Energy, & NCDOT.

Business Model 
Aerotronic charges for transmission line inspections at $1000/mile (50% market rates with 80% margin). Subscription model to our portal allows for 3D time-series data access and preventative maintenance predictions using machine learning. Marketplace for vegetation management bids and other services allow us to capture commissions which create an additional revenue stream.

Team 
Chris, the CEO, is a helicopter pilot, aerospace engineer, and on his second drone company after a successful exit.
Neerav, the COO, has an MBA, and ran a manufacturing firm with 50 employees specializing in electro-mechanical assemblies for the DoD and its prime contractors.

Autonomous Helicopter
We have developed a hybrid single rotor autonomous unmanned system capable of flying 500 miles; we can cover entire the US with 14 base stations and 28 aircraft can Inspect the entire transmission grid in 5 days.",United States,2015-02-17,2
Syscobat,"Syscobat is a French (From Toulouse) company specializing in B2R+ (b2rplus) hybrid wood / concrete construction system.They provide all design engineering activities in close collaboration with the client, the architect and all engineering and control office.They offer fully adaptable wall panels for all your real estate projects, individual houses, collective housing, high-rise buildings (17-storey), offices, etc.They also offer a digital model that allow to plan and coordinate the execution of the various stages of construction, facilitating the monitoring and progress of the site. This digital access can be used from architects offices to the building site companions.",France,2016-02-12,1
Foxconn Interconnect Technology,"Foxconn Interconnect Technology develops, manufactures, and markets electronic and optoelectronic connectors, antennas, acoustic components, cables and modules for applications in computers, communication equipment, consumer electronics, automobiles, industrial and green energy field products.  With its Foxconn Optical Interconnect Technologies (FOIT) division, FIT is well positioned to support the industry-wide upgrade of data speeds across the data center network.
",Taiwan,2013-01-01,2
MoveInSync,"MoveInSync is in the business of organizing transportation for India. The company has built a transport management platform which is used to move people or goods in an efficient manner.

One of the solution built using this platform is Employee Transportation solution. The solution is used by organizations in IT, BPO and Airlines sectors which provide pickup and drop services for their employees. The solution helps these organizations reduce cost and improve employee satisfaction. This benefits are achieved by reducing employee travel time through route optimization. To ensure the safety of women employees traveling at odd hours we develop a safe travel corridor, which is based on data of her past travel routes and traffic stops. This system has been operational since Aug 2011 and has some top companies in each sector in the client list.",India,2009-01-01,1
Tri-County Mechanical,"Tri-County Mechanical installs and services commercial and residential heating and air conditioning systems. Specializing in commercial and residential installations, the company is licensed and insured in North and South Carolina, serving Horry, Georgetown, and Brunswick Counties.

The company was founded in 2001, based out of Little River, SC.",United States,2001-01-01,0
Carnell Support Services,"Carnell provide maintenance and support services that help ensure safety and efficiency for the UK’s highway infrastructure.  For over two decades, major public and private sector customers have relied on us for cost effective, sustainable innovations that help the successful operation and maintenance of their network assets.",United Kingdom,1991-01-01,0
STADIUM,"Here at STADIUM, we’re focused on team lunches, and client lunches. 

What makes us different is that we’re the only company where groups can order meals from different restaurants and have them delivered together. Eg.. Bryan can order a burger from Shake Shack, Peter can order a salad from sweetgreen, VJ can get a vegan sandwich from by Chloe etc. and have it arrive at the same time, hassle-free. Each lunch is neatly packed and labeled with the diner’s name.


Our goal is simple; we aspire to make organizing lunch easy and provide options that everyone in the group will enjoy. But, our company is complex and full of challenges. We intersect technology, B2B sales & marketing, food, and logistics.",United States,2014-01-01,0
Morfars.dk,"Morfars.dk specialize in remote controlled cars, helicopters and boats and accessories for these.",United States,2002-01-01,1
St. George Logistics,"St. George Logistics is a logistics services company that offers a wide range of value-added services, knowledgeable support and the most advanced technology solutions for their customers in the shipping and distribution industries. Their company is committed to superior customer service, continuous improvements in our operations and technologies, and treating every order as if it were our own. That’s how they ensure their customers’ businesses continue to be so successful.

As the leading neutral CFS, we operate the largest network of independent CFS facilities in North America, in close proximity to the all the major ports and metropolitan areas for ocean or air cargo. They also offer to provide a range of additional logistics services including distribution, warehousing and reliable transportation within the US.",United States,2012-01-01,0
Neri Srl,"Neri Srl is a shipping agency, engages in internationally forwarding, stevedoring, and port terminal operations in Italy. ",Italy,2002-01-01,0
Logistics & Distribution Services,"LDS, Corp. is a Reno, Nevada based transportation and logistics company serving the continental United States and Canada, with a unique focus in the 11 western states.",United States,1991-01-01,0
Sunland Asphalt,"Sunland Asphalt, a commercial asphalt paving company in Phoenix, provides commercial asphalt paving service at competitive price.",United States,1979-01-01,0
I-Logistica,"For logistics and supply chain managers who look for warehousing solutions (long or short term storage) and logistics services in France, such as distribution, freight forwarding, order picking, the new website www.i-logistica.com is a B2B marketplace where logistics providers and customers can connect and find opportunities to store their products.

This free website facilitates the process to find logistics suppliers and displays quotations sorted by best rates on line immediately, without subscription, and the up-to-date storage availabilities for each selected warehouse.

In the next few weeks, an English version will be available to visit the website, and to find warehousing services in France for companies abroad.

I-Logistica includes most part of the leading logistics suppliers with locations in France, and several regional companies providing a diverse range of logistics services throughout France, Europe and beyond.

I-logistica provides to customers a user-friendly system, without spending time, and being in contact with logistics suppliers within the next 48 hours.
Customers can easily compare services and prices in few seconds across a range of warehousing solutions, matching with their needs.

I-logistica is open to all the warehousing solutions providers, with locations in France, looking for new customers and interested in a new profitable trade experience.
It allows members to directly manage their online prices and storage availabilities.",France,2009-01-01,0
AP Technologies,"AP Technologies is an accounting software provider for the construction industry. The flagship product VALUE helps in documenting and reporting of incoming & outgoing cash flows, receipts, payments, purchases, and attendance.Targets civil engineers, builders, promoters, and general contractors as customers. As of Oct 2017, Claims to have 8000+ Customers. Also, will be launching school management software and billing software soon.",India,2005-01-01,2
Rally Insurance,"Rally Insurance Group, Inc. is an Independent Insurance Agency that represents many quality insurance companies.  We have been in business since 1995 and we provide coverage on a national basis.  Rally Insurance is able to write all lines of Property and Casualty Insurance and we offer many types of policies to meet the needs of our customers.  By offering a variety of coverage and companies we are able to provide the best coverage for your individual needs. 

Among the many things that we offer, we specialize in insurance for Collector Vehicles (cars, trucks and motorcycles).  Whether your vehicle is completely stock or highly modified we are able to place coverage for most vehicles.  Among the harder to place vehicles that we can consider are:

Cobra Replicars
Pro Street Vehicles (including those equipped with NOS, Harness Seat belts and Roll Cage)
Dune Buggy
Street Rod
Kit Cars (including those not fully assembled)
Restoration Projects (we must see an end in sight)

Our customers love their toys and we are able to provide coverage for all your fun.  We are a one stop shop.

Rally Insurance Group has many very competitive companies for all of your insurance needs.  We offer the following types of insurance:

Homeowners
Personal Auto
Umbrella
Watercraft (including jet skies and yachts)
Snowmobile
Motor home
Mobile home
Motorcycle
Business Insurance (Work Comp, Property, Commercial Auto, Inland Marine, Etc)
Group Health
Individual Health
Life Insurance
Dental
Surety Bond
Fidelity Bond

Give us a call for a free no obligation quote!",Greece,1995-01-01,0
ConstructionDeal,"ConstructionDeal matches residential and commercial contractors with homeowners and business owners who have renovation, building, repair and installation projects. It's a free service for project owners who may submit their request online or search the free contractor directory.",United States,2004-06-01,0
Southern Insulation & Sheet Metal,"Southern Insulation (Sulphur, LA) and Stark Sandblasting and Painting Company (Canton, OH) build upon the company's strong expertise in coatings, linings, fireproofing and insulation.",United States,1977-01-01,0
BathWraps,"BathWraps is a manufacturer of acrylic wetspace walls, tubs and showers. Originally founded in 1997, the company produces custom bath and showers that are long lasting and simple to install designed for the remodeling market. With a network of 120-plus dealers, the company continues its growth in key communities across the country.",United States,1997-01-01,0
Premier Concepts,"Premier Concepts, Inc. designs, fabricates, and sells granite countertops for residential, RV and marine, and manufacturing markets.",United States,2006-01-01,0
LINCROS,"LINCROS is a platform company (formerly known as  Transpobrasil) that provides solutions for logistics transformation. The company integrates and connects the important points by promoting agile and uncomplicated logistics, providing continuous flow, potentializing the movements, and eliminating the barriers.

LINCROS was founded in 2012 and is headquartered in Santa Carina, Brazil.",Brazil,2012-01-01,0
Bilfinger Marine & Offshore Systems,"Bilfinger Marine & Offshore Systems GmbH, a German company active in the engineering, construction and installation of foundations for offshore wind parks and harbour construction. ",Germany,1872-01-01,0
Vitruvio Virtual Reality,"Vitruvio provides a platform to view architecture in VR. Users can tour architectural constructions, museums and distant cities; and the building that are yet to be constructed. The platform offers interactions with surrounding environments, and clients can choose to customize the interactions. Compatible with PC, smartphone and VR headsets; and can be interacted using PC keyboard, joypad or visual commands.",Italy,2015-01-01,2
Pizero Design,"Pizero Design is a mobile development and publishing company located in Lucca (LU), Italy. The company specializes in development, distribution and promotion of mobile apps, as well as UI and interface design.

The company roots are in a personal blog, Pizero.net, that was opened in 2007 by Michele Cerreta, a law student with a passion for IT, mobile phones and design. 

Pizero Design quickly gained success thanks to its mobile themes, and started publishing on Nokia Store, reaching the one million downloads milestone just a few months later. 

In 2010, Pizero Design started publishing apps for iOS and BlackBerry. In 2011 it entered the Android and Windows Phone markets, while still increasing its success on the Nokia platform. In this timeframe, the company worked closely with several fortune 500 companies like Nokia, Pepsi, Burton, Oakley and Conde Nast to provide UI design and mobile marketing services.

Pizero Design srl was born in 2013, as an evolution of the original Pizero Design company, to develop innovative and entertaining apps and games and to provide advanced professional services related to mobile and internet.

As of today, Pizero Design has an impressive and rapid-growing portfolio of over 100 apps available on iTunes Store, Google Play, Nokia Store, BlackBerry AppWorld,  Windows Phone marketplace, Samsung Apps, Amazon AppStore and Mac App Store.

Since 2007, estimates say that over 25 million apps and themes by Pizero Design have been downloaded worldwide.

Pizero Design srl is a privately held company, and CEO Michele Cerreta takes care of every project, including apps and themes design, marketing, business strategy and social media.

Pizero Design is also one of the first italian certified Innovative Start-ups, a special status that offers exclusive benefits and tax examptions for investors.

Pizero Design offices are located in the start-up incubator of the ""Polo Tecnologico Lucchese"", in Lucca (LU) - Italy.",Italy,2013-04-01,0
Contract Simply,"Contract Simply is an online payment management solution for the construction industry. Builders, project owners, contractors, and subcontractors can use the platform to submit invoices and create payment requests. Once approved, the platform processes cheques and digital payments electronically to distribute funds. Lenders can use the platform to manage loan portfolio and inspections.",United States,2017-01-01,2
EagleView Technologies,"EagleViewÂ:registered: Technologies invented the concept of 3D aerial roof measurements and provides precise, accurate roof measurement reports.  Using aerial photographs, EagleView uses proprietary, patent-pending software to provide a report with a 3D model, color photographs, length and area measurement, roof pitch and more. These reports are the third-party independent standard, have been tested thousands of times and are accepted by the largest insurance carriers.  

The service can be used anywhere or anytime using the EagleView apps for Androidâ„¢ and iPhoneÂ:registered:.  Contractors, insurance adjusters and insurance companies use EagleView reports for accurate estimates, ease of production planning, warranty documentation and to reduce conflicts and claim cycle times.",United States,2008-01-01,2
Builderstorm,Builderstorm is a Online Construction Software. Builderstorm has won the 2Pears Tech Pitch 4.5 Award for Tech Startups. The company is looking to attract 20 new clients and hire two new customer support team members in the next twelve months. Funds from the campaign will be used for marketing along with continuing to develop the brand and its team.,United Kingdom,2014-01-01,1
Archionline,Archionline is the services of an architect,France,2013-01-01,0
Katoen Natie,"Katoen Natie supplies logistics and semi-industrial services to various industries and port services for the shipping companies.

Katoen Natie achieves great added value for its customers in the services it provides. The outstanding quality of the service and the continuous cost monitoring form the basis for sustainable customer relations.

Katoen Natie consists of 400 operational units, with 150 terminals and logistics platforms, employing over 10,000 people and active in all parts of the world. Katoen Natie is a private company and is not listed on the stock exchange so decisions can be made as part of a long-term vision.

Due to the short lines of decision-making, management can very quickly decide in the interests of the customer.

As a global logistics service provider, Katoen Natie combines engineering, technology and port operations to offer worldwide, tailor-made solutions to the chemical and automotive industries, and to the consumer goods, electronics & retail sector.",Belgium,1854-01-01,0
